"1,-4.0,1.2:6.794360872601056"
"2,-5.0,1.3:7.203662011663188"
"3,-4.7,1.1:7.199045311468239"
"4,-5.5,1.3:8.994093437154733"
"5,-3.5,1.0:6.28373221842051"
"6,-1.9,1.1:4.506662024320974"
"7,-3.6,1.2:7.60599609901052"
"8,-5.3,1.2:8.428303248397683"
"9,-3.1,0.7:5.533370764699375"
"10,-3.2,1.1:5.982806321666885"
"11,-6.0,1.0:8.890243268758834"
"12,-12.1,0.7:7.360490448229845"
"13,-3.9,1.3:5.778664487617142"
"14,-5.8,0.9:8.366343354772429"
"15,-5.7,0.9:8.181480211290356"
"16,-4.6,0.8:6.315371536129179"
"17,-6.0,0.9:8.915026085029083"
"18,-12.0,0.4:6.920257032186296"
"19,-3.8,1.7:6.449985192888544"
"20,-7.1,1.1:8.05982787538831"
"21,-7.2,1.1:8.899329288270273"
"22,-3.0,1.0:5.557745012159285"
"23,-6.9,1.0:8.852693310694976"
"24,-6.6,1.1:8.858075168986291"
"25,-3.6,1.2:5.665162397375609"
"26,-1.7,1.5:4.709204902443443"
"27,-4.9,1.1:7.476311037472683"
"28,-3.0,1.2:8.518910355696507"
"29,-6.9,0.8:9.932404829284517"
"30,-5.4,1.4:7.766930826707024"
"31,-12.2,0.9:6.909520850554915"
""
"32,-7.3,0.8:9.764784218882374"
"33,-5.3,1.2:8.371084789537925"
"34,-3.0,1.5:6.254006172817486"
"35,-1.5,2.1:5.130136229039333"
"36,-4.4,1.6:6.878206967960785"
"37,-5.1,1.2:9.255360308731607"
"38,-4.6,1.9:8.134989951840993"
"39,-4.7,1.4:6.720573816673864"
"40,-3.8,1.4:6.323144549165784"
"41,-2.7,1.2:8.367510502219824"
"42,-14.3,0.8:7.45523170828762"
"43,-6.9,1.5:8.686128658139921"
"44,-4.5,1.4:5.9570118636104175"
"45,-8.5,0.9:9.759047720037751"
"46,-13.4,0.5:7.529875680784062"
"47,-4.9,1.5:6.860142013866274"
"48,-3.2,1.2:8.190795709861346"
"49,-6.5,0.7:7.975715497593254"
"50,-5.6,1.1:9.284063582321009"
"51,-5.4,0.8:8.761085168048496"
"52,-7.0,0.8:9.387554785443328"
"53,-7.3,0.8:9.091849417227419"
"54,-3.9,0.9:5.451312809956128"
"55,-4.4,0.8:5.364965868438802"
"56,-6.5,0.9:8.900896897192954"
"57,-5.0,1.0:6.216614228835185"
"58,-6.3,0.6:8.696463901213237"
"59,-5.2,1.1:9.327619668375586"
""
"60,-3.6,0.9:9.889588842149733"
"61,-5.0,0.9:9.24832267074534"
"62,-5.4,0.8:9.499914858209175"
"63,-5.3,0.6:9.653513047627262"
"64,-4.6,0.8:8.81134426483924"
"65,-5.0,0.9:9.786287137907218"
"66,-3.7,0.7:7.4062100498927474"
"67,-3.4,0.7:5.536675543780539"
"68,-5.3,0.8:9.639023803525697"
"69,-5.4,0.5:7.448618064100371"
"70,-5.4,0.5:9.608398019441118"
"71,-4.9,0.8:9.475511286009077"
"72,-4.3,0.7:8.529515033262348"
"73,-4.0,0.8:7.6617734179626416"
"74,-2.7,1.1:6.12222358474612"
"75,-4.0,1.1:9.174179479502994"
"76,-2.5,1.0:8.093173091689165"
"77,-4.1,1.0:9.350276028888466"
"78,-4.4,0.8:9.963938644616384"
"79,-2.9,1.0:9.004310419445575"
"80,-3.8,0.6:9.889126740375552"
"81,-3.0,1.0:9.362319200785192"
"82,-2.8,0.5:7.486941972748671"
"83,-2.5,0.5:9.09144696390517"
"84,-1.5,0.9:6.880286394487567"
"85,-1.3,0.8:9.303452400184566"
"86,-0.9,1.0:7.402419501850656"
"87,-0.1,1.1:7.953865373685681"
"88,-0.6,0.8:8.651073181092066"
"89,-0.7,0.9:7.227463303635044"
"90,-0.3,0.5:6.539479378496538"
""
"91,-0.0,0.9:5.708754623335322"
"92,0.3,0.6:7.101575503929569"
"93,0.7,1.0:9.110642448383276"
"94,0.8,0.6:7.459642250135058"
"95,1.1,0.7:5.749623656453024"
"96,1.3,0.6:6.994325674744052"
"97,1.4,1.1:9.241104618748667"
"98,1.5,0.7:7.191919642190198"
"99,1.7,1.2:8.124294278937766"
"100,2.0,0.7:8.42876964998451"
"101,2.0,1.1:7.145769285724754"
"102,2.6,0.9:7.577792813113505"
"103,2.6,0.8:6.045139470000641"
"104,2.8,0.8:9.66492919011826"
"105,3.2,0.7:8.682430705245446"
"106,3.4,0.8:9.980410599093391"
"107,3.7,0.9:9.212898990681488"
"108,4.0,1.4:9.245899938631897"
"109,3.9,1.1:9.579129231839278"
"110,4.1,1.1:8.406190148485816"
"111,4.0,1.0:9.590318803717862"
"112,4.2,0.9:8.490915737030107"
"113,4.6,0.9:8.70366502971219"
"114,4.9,1.2:7.38038518439827"
"115,5.2,1.1:6.652241039687882"
"116,5.7,0.8:7.481409394248598"
"117,6.2,0.9:7.252335877757951"
"118,6.5,1.5:9.912800648633047"
"119,6.8,1.5:9.871063609284773"
"120,7.0,0.6:8.20266882737761"
""
"121,6.9,1.1:7.255849450615689"
"122,6.8,0.9:7.580164300191735"
"123,6.7,0.8:6.597891788607216"
"124,7.7,0.9:9.336915521358831"
"125,7.9,0.8:9.265474732844698"
"126,8.4,0.7:9.13078946817246"
"127,8.1,0.8:8.199166268303205"
"128,8.3,0.9:7.349125375876602"
"129,8.7,0.6:6.942697500450845"
"130,9.0,0.6:8.127437704015712"
"131,8.0,1.4:7.427813614197546"
"132,8.7,1.2:9.8277684875278"
"133,9.3,1.1:9.735547990775295"
"134,10.1,0.9:9.85915959788791"
"135,10.5,0.9:7.957186099091146"
"136,10.0,0.5:6.769343746401453"
"137,11.1,0.7:8.871811827328242"
"138,11.4,1.0:7.04327855497699"
"139,11.6,1.0:8.544673688046998"
"140,11.4,0.9:9.43934736983868"
"141,10.9,0.9:9.718949095763822"
"142,10.9,0.7:7.32513797807356"
"143,11.6,0.9:7.306623290190928"
"144,11.8,1.4:8.192778974454459"
"145,12.3,0.8:9.540169692817406"
"146,12.6,0.5:8.917015675637044"
"147,12.6,1.2:9.482956171797522"
"148,12.7,1.4:9.602991329908734"
"149,12.8,0.7:7.3491824732204964"
"150,12.6,0.9:8.881493904061202"
"151,12.5,1.0:8.655396653866584"
""
"152,12.6,0.7:9.161862132425044"
"153,12.8,0.9:8.442105843751163"
"154,12.8,1.8:8.702929931789384"
"155,13.0,0.9:6.879691268946481"
"156,13.4,1.0:7.4472878442476"
"157,13.3,0.9:9.880472027847393"
"158,13.6,1.0:8.199602830799098"
"159,14.0,0.8:7.129334232378764"
"160,14.3,1.5:8.012731951991015"
"161,14.8,0.9:7.485464473063098"
"162,14.9,0.6:8.721889136133093"
"163,14.7,0.9:8.502189514117314"
"164,14.6,1.3:9.42892120206348"
"165,14.6,1.0:7.765403900841036"
"166,15.0,1.3:9.370685503974853"
"167,15.5,1.6:6.9270596351010365"
"168,15.4,0.8:7.429806953141296"
"169,16.1,1.1:7.796874633679656"
"170,16.2,1.3:9.833045104451363"
"171,16.5,1.6:8.11054809598694"
"172,16.1,1.4:9.967098452533715"
"173,16.0,1.6:8.695359989069237"
"174,15.9,1.9:9.081723500466218"
"175,16.2,1.5:8.233844489621562"
"176,16.4,1.5:6.686927706370946"
"177,17.0,1.4:6.719432532914365"
"178,16.8,2.2:8.85766867888645"
"179,16.9,1.4:6.383544801460404"
"180,16.6,2.6:7.75171813207122"
"181,16.7,1.4:9.047868036681596"
""
"182,16.8,1.1:7.014929269393461"
"183,17.3,1.2:8.76533970503378"
"184,17.4,1.1:9.896357470807455"
"185,17.5,0.7:9.22750057868606"
